case_id,payload,seed,query_budget,matched_budget_status,status,valid_completed,success,method_failure,invalid_excluded,pending,accepted,verifier_success,decoded_payload,ownership_score,exact_response_match_ratio,exact_response_match_count,threshold,target_far,false_claim_score,utility_acceptance_rate,utility_status,prompt_family,prompt_family_robustness_status,training_compute_seconds,embedding_compute_seconds,generation_compute_seconds,model_forward_count,contract_hash_status,contract_hash_missing_fields,contract_hash_mismatch_fields,baseline_contract_hash,failure_reason,failure_examples,run_dir,case_root,eval_summary_path,train_summary_path
chain_hash_q1_U00_s17,U00,17,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U00_s17,,
chain_hash_q1_U03_s17,U03,17,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U03_s17,,
chain_hash_q1_U12_s17,U12,17,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U12_s17,,
chain_hash_q1_U15_s17,U15,17,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U15_s17,,
chain_hash_q1_U00_s23,U00,23,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U00_s23,,
chain_hash_q1_U03_s23,U03,23,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U03_s23,,
chain_hash_q1_U12_s23,U12,23,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U12_s23,,
chain_hash_q1_U15_s23,U15,23,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U15_s23,,
chain_hash_q1_U00_s29,U00,29,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U00_s29,,
chain_hash_q1_U03_s29,U03,29,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U03_s29,,
chain_hash_q1_U12_s29,U12,29,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U12_s29,,
chain_hash_q1_U15_s29,U15,29,1,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q1/U15_s29,,
chain_hash_q3_U00_s17,U00,17,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U00_s17,,
chain_hash_q3_U03_s17,U03,17,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U03_s17,,
chain_hash_q3_U12_s17,U12,17,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U12_s17,,
chain_hash_q3_U15_s17,U15,17,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U15_s17,,
chain_hash_q3_U00_s23,U00,23,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U00_s23,,
chain_hash_q3_U03_s23,U03,23,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U03_s23,,
chain_hash_q3_U12_s23,U12,23,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U12_s23,,
chain_hash_q3_U15_s23,U15,23,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U15_s23,,
chain_hash_q3_U00_s29,U00,29,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U00_s29,,
chain_hash_q3_U03_s29,U03,29,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U03_s29,,
chain_hash_q3_U12_s29,U12,29,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U12_s29,,
chain_hash_q3_U15_s29,U15,29,3,under_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q3/U15_s29,,
chain_hash_q5_U00_s17,U00,17,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U00_s17,,
chain_hash_q5_U03_s17,U03,17,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U03_s17,,
chain_hash_q5_U12_s17,U12,17,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U12_s17,,
chain_hash_q5_U15_s17,U15,17,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U15_s17,,
chain_hash_q5_U00_s23,U00,23,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U00_s23,,
chain_hash_q5_U03_s23,U03,23,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U03_s23,,
chain_hash_q5_U12_s23,U12,23,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U12_s23,,
chain_hash_q5_U15_s23,U15,23,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U15_s23,,
chain_hash_q5_U00_s29,U00,29,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U00_s29,,
chain_hash_q5_U03_s29,U03,29,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U03_s29,,
chain_hash_q5_U12_s29,U12,29,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U12_s29,,
chain_hash_q5_U15_s29,U15,29,5,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q5/U15_s29,,
chain_hash_q10_U00_s17,U00,17,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U00_s17,,
chain_hash_q10_U03_s17,U03,17,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U03_s17,,
chain_hash_q10_U12_s17,U12,17,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U12_s17,,
chain_hash_q10_U15_s17,U15,17,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U15_s17,,
chain_hash_q10_U00_s23,U00,23,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U00_s23,,
chain_hash_q10_U03_s23,U03,23,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U03_s23,,
chain_hash_q10_U12_s23,U12,23,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U12_s23,,
chain_hash_q10_U15_s23,U15,23,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U15_s23,,
chain_hash_q10_U00_s29,U00,29,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U00_s29,,
chain_hash_q10_U03_s29,U03,29,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U03_s29,,
chain_hash_q10_U12_s29,U12,29,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U12_s29,,
chain_hash_q10_U15_s29,U15,29,10,over_budget_diagnostic,pending,False,False,False,False,True,False,False,,,,,,0.01,,,pending,,pending,,,,,pending,,,,eval_summary_missing,,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/chain_hash_qwen/final/q10/U15_s29,,
