claim_id,exact claim text,paper section,supporting artifacts,quantitative result,can state in main paper? yes/no,required caveat,forbidden overclaim,missing evidence
C01,Qwen clean payload recovery is stable across the frozen payload-by-seed matrix,Main results / clean ownership,"PROJECT_STATUS.md; docs/experiment_matrix.md; results/processed/paper_stats/g1_summary.json; results/tables/g1_payload_seed_scale.csv","G1: 48/48 included clean cases; accepted/verifier/decoded_payload rates all 1.0; 95% CI low 0.9259; 0 pending; 0 excluded",yes,"Qwen2.5-7B-Instruct only; clean exact-slot compiled protocol; not a robustness or cross-model claim","Do not claim broad model-family robustness or superiority over Perinucleus from this result","Matched FAR and utility comparison remain separate evidence"
C02,Prompt-family stability holds for the tested equivalent prompt families,Main results / prompt stability,"docs/experiment_matrix.md; results/processed/paper_stats/g2_summary.json; results/tables/g2_prompt_family_scale.csv","G2: 36/36 included cases across PF1/PF2/PF3 x U00/U03/U12/U15 x seeds 17/23/29; accepted/verifier/decoded rates 1.0",yes,"Only three pre-registered semantically equivalent prompt families; not arbitrary prompt rewriting","Do not claim prompt-invariant ownership under unrestricted prompt transformations","Broader prompt distribution and adversarial prompt wrappers"
C03,Block-count scaling is strong but not perfect under the held-out G3a-v3 matrix,Main results / scaling,"docs/experiment_matrix.md; results/processed/paper_stats/g3a_v3_summary.json; results/tables/g3a_v3_block_scale.csv; results/tables/g3a_v3_failure_cases.csv","G3a-v3: 142/144 valid successes; 2 valid method failures; exact/RS success rate 0.9861; B1 48/48, B2 46/48, B4 48/48; slot_bucket_accuracy mean 0.9948",yes,"Report the two valid method failures in the denominator; this is block-count scaling, not bucket-member scaling","Do not claim 100% scaling or failure-free behavior across all block counts","Larger block counts and separate bucket-member scale (G3b) if that claim is needed"
C04,Training-signal scaling remains successful over the tested sample-count ladder,Main results / training signal,"docs/experiment_matrix.md; results/processed/paper_stats/g4_summary.json; results/tables/g4_train_scale.csv","G4: 48/48 valid successes across S16/S32/S64/S128; exact/RS/slot_bucket_accuracy all 1.0; 0 method failures; 0 pending",yes,"Only effective compiled sample count varies; same Qwen model, B2, prompt family, codebook, and G3a-v3 hp04 objective; S128 repeats 64 unique samples twice","Do not claim universal data efficiency or generalization beyond the frozen ladder","Independent larger unique-sample ladders and additional models"
C05,Our method has higher clean ownership success than official Scalable/Perinucleus,Main comparison,"results/tables/paper_baseline_comparison.csv; results/tables/baseline_paper_registry.csv; results/processed/paper_stats/g1_summary.json; results/processed/paper_stats/baseline_perinucleus_official_qwen_final_summary.json","Not supported: ours G1 is 48/48 and official Qwen-adapted Perinucleus is also 48/48",no,"The correct statement is clean success parity, not superiority","Do not write that ours outperforms Perinucleus on clean exact verification","A differentiating matched metric such as FAR, utility, compute, persistence, or payload capacity"
C06,Clean ownership success is tied with the official Qwen-adapted Scalable/Perinucleus baseline,Main comparison,"results/tables/paper_baseline_comparison.csv; results/tables/baseline_paper_registry.csv; results/processed/paper_stats/g1_summary.json; results/processed/paper_stats/baseline_perinucleus_official_qwen_final_summary.json","Ours: 48/48, success_rate 1.0; official Qwen-adapted Perinucleus: 48/48, success_rate 1.0; both have 0 method failures and 0 pending",yes,"Perinucleus row must be labeled Qwen-adapted official Scalable/Perinucleus; parity is clean exact-verifier parity only","Do not imply the methods have the same mechanism or that parity establishes our superiority","Matched FAR, utility, compute, and robustness/persistence comparisons"
C07,The ownership decision is FAR-calibrated against null models for the main method and Perinucleus,Methods / calibration and main comparison,"docs/calibration_protocol.md; results/processed/paper_stats/baseline_calibration_summary.json; results/tables/baseline_calibration_cases.csv","Only internal fixed/uniform baseline calibration is frozen at target_far 0.01 with observed FAR 0.0 on available negative sets; no matched FAR artifact for ours vs official Perinucleus",no,"A calibration protocol exists, but the main method and official Perinucleus do not yet have a matched FAR/null comparison artifact","Do not claim FAR-calibrated ownership for the main Perinucleus comparison","Null calibration for ours and Perinucleus over base Qwen, wrong payload/owner probes, random organic prompts, and fixed query budgets M=1/3/5/10"
C08,The method preserves utility better than Perinucleus,Main comparison / utility,"results/processed/paper_stats/baseline_perinucleus_qwen_candidate_utility_summary.json; results/processed/paper_stats/baseline_perinucleus_official_qwen_final_summary.json; docs/baseline_perinucleus_qwen_candidate_freeze.md","Perinucleus candidate utility sanity passed: adapter utility 0.6192 vs base 0.6035 on tinyBenchmarks; signed absolute_drop -0.01565; no matched utility result for ours on the same benchmark",no,"Can cite Perinucleus utility sanity only as baseline validation; cannot compare utility preservation without ours on the same suite","Do not claim better utility, lower utility drop, or no degradation versus Perinucleus","Same utility benchmark for base, ours, and Perinucleus with confidence intervals"
C09,Our method is compute-efficient relative to official Scalable/Perinucleus,Main comparison / compute,"results/processed/paper_stats/compute_accounting.json; results/tables/compute_accounting.csv; results/processed/paper_stats/baseline_perinucleus_official_qwen_final_compute.json","Compute accounting exists but is not normalized for a matched ours-vs-Perinucleus efficiency comparison; examples: G1 requested 864 train + 864 eval GPU-hours; Perinucleus final eval seconds 732.1 and 228 model forwards",no,"Can report compute accounting descriptively; cannot claim relative efficiency without matched wall-clock/GPU-hour accounting for both methods","Do not claim lower cost, better efficiency, or cheaper verification versus Perinucleus","Matched train wall-clock, GPU-hours, eval query cost, trainable parameters, and artifact size for both methods"
C10,The method achieves exact cross-family replication on Llama 3.1 8B,Generalization / cross-family,"PROJECT_STATUS.md; docs/experiment_matrix.md; results/processed/paper_stats/r1_summary.json; results/tables/r1_replication.csv; results/tables/r1_failure_cases.csv","R1 exact gate: 0/12; valid method failures: 12/12; claim_paper_ready false",no,"The exact cross-family result is negative; it can be discussed only as a failed exact-surface replication","Do not claim exact Llama replication or cross-family exact success","A pre-registered R1-v2 exact repair would be required for this claim"
C11,R1 supports cross-family RS-aware semantic recovery,Results / diagnostic cross-family,"PROJECT_STATUS.md; docs/experiment_matrix.md; results/processed/paper_stats/r1_summary.json; results/tables/r1_replication.csv","R1 RS-aware gate: 12/12; slot_bucket_accuracy mean 1.0; symbol_error_count mean 0.0; exact gate 0/12",yes,"State as diagnostic RS-aware/bucket semantic recovery, not exact representative replication; small matrix on Llama 3.1 8B Instruct","Do not collapse RS-aware recovery into exact clean-path replication","Additional model families and larger payload matrices if claiming broad cross-family transfer"
C12,The verifier is robust to the tested whitespace perturbation,Robustness / bounded attacks,"PROJECT_STATUS.md; results/processed/paper_stats/robustness_summary.json; results/tables/batch3_family_summary.csv","Batch3 whitespace_scrub: accepted_before 4/4 and accepted_after 4/4; accepted_after_rate 1.0",yes,"Only the tested whitespace_scrub attack on accepted clean baselines; not broad post-processing robustness","Do not claim robustness to arbitrary formatting, truncation, delimiter removal, paraphrase, or output-side transformations","Larger attack grid and adversarial post-processing suite"
C13,The verifier is robust to truncation or delimiter destruction,Robustness / limitations,"PROJECT_STATUS.md; results/processed/paper_stats/robustness_summary.json; results/tables/batch3_family_summary.csv","Not supported as a positive claim: truncate_tail accepted_after 0/4; delimiter_scrub accepted_after 0/4; accepted_before 4/4 for both",no,"The supported statement is the opposite: truncation and delimiter scrubbing break current acceptance and are outside the current guarantee","Do not claim broad output-side robustness or robustness to structure-destroying transformations","A revised robust verifier and a new accepted-before/accepted-after attack package"
C14,Bucket-mass objective supports bucket-level semantic recovery while exact representative recovery is diagnostic,Theory / objective evidence,"results/processed/paper_stats/t2_r1_summary.json; docs/experiment_matrix.md","T2-r1: bucket_mass bucket_correct_rate 1.0 but slot_exact_rate 0.5; fixed_representative exact-slot pass; uniform_bucket bucket_correct_rate 1.0 but slot_exact_rate 0.0",yes,"Single U15 seed-17 multi-member-bucket diagnostic; supports metric hierarchy, not a universal objective ranking","Do not claim bucket_mass always beats fixed representative or guarantees exact canonical tokens","Broader multi-member bucket matrix and utility/lexical distortion metrics"
C15,Compiled evidence is next-token measurable under the exact-slot verifier,Theory / measurability and implementation,"results/processed/paper_stats/t1_summary.json; docs/experiment_matrix.md","T1: contextual_exact accepted with slot_exact_rate 1.0 and verifier_success true; repaired sequence_proxy accepted with slot_exact_rate 1.0 and verifier_success true for U03 seed 17",yes,"Empirical support for the implementation path; formal theorem text must carry the mathematical claim; sequence_proxy required payload-label repair","Do not claim all textual evidence is next-token measurable or that arbitrary generation is verifier-compatible","Formal proof text and broader empirical examples if extending beyond compiled exact-slot evidence"
