case_id,family_id,family_slug,family_description,generation_prompt,payload,seed,case_root,source_stage,source_kind,train_summary_path,eval_summary_path,training_health_path,status,accepted,verifier_success,decoded_payload,decoded_payload_correct,numerically_healthy,match_ratio,train_run_id,eval_run_id,final_loss,included
PF1_U00_s17,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U00,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009043498Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009043498Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009043498Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z,7.2e-05,True
PF1_U03_s17,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U03,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009339920Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009339920Z/training_health.json,accepted_included,True,True,U03,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009339920Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z,7.2e-05,True
PF1_U12_s17,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U12,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009636763Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009636763Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009636763Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z,7.2e-05,True
PF1_U15_s17,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U15,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009951332Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009951332Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009951332Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z,7.2e-05,True
PF1_U00_s23,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U00,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23,compiled-c3-r2,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T194153085723Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T194153085723Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T194153085723Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z,0.000314,True
PF1_U03_s23,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U03,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s23,compiled-c3-r3,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T030903669721Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045000580189Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T030903669721Z/training_health.json,accepted_included,True,True,U03,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T030903669721Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045000580189Z,0.000314,True
PF1_U12_s23,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U12,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s23,compiled-c3-r3,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T032232114182Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045010162257Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T032232114182Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T032232114182Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045010162257Z,0.000314,True
PF1_U15_s23,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U15,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s23,compiled-c3-r2,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230423059695Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260421T004320265591Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230423059695Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230423059695Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260421T004320265591Z,0.000314,True
PF1_U00_s29,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U00,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s29,compiled-c3-r2,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T194153381099Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230401606944Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T194153381099Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T194153381099Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230401606944Z,0.000126,True
PF1_U03_s29,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U03,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s29,compiled-c3-r3,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T030903968866Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045000886274Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T030903968866Z/training_health.json,accepted_included,True,True,U03,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T030903968866Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045000886274Z,0.000126,True
PF1_U12_s29,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U12,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29,compiled-c3-r3,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T032232417707Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T032232417707Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T032232417707Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z,0.000126,True
PF1_U15_s29,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U15,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29,compiled-c3-r2,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230423357094Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230423357094Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230423357094Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z,0.000126,True
PF2_U00_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U00,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457622161Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428190177Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457622161Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457622161Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428190177Z,6e-06,True
PF2_U03_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U03,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457662002Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428223076Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457662002Z/training_health.json,accepted_included,True,True,U03,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457662002Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428223076Z,6e-06,True
PF2_U12_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U12,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457686636Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428261048Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457686636Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457686636Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428261048Z,6e-06,True
PF2_U15_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U15,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457709625Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428285750Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457709625Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457709625Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428285750Z,6e-06,True
PF2_U00_s23,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U00,23,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457733280Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428307689Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457733280Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457733280Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428307689Z,6e-06,True
