case_id,variant_id,variant_slug,variant_description,block_count,payload,seed,case_root,source_stage,source_kind,train_summary_path,eval_summary_path,training_health_path,status,failure_reasons,accepted,verifier_success,decoded_payload,decoded_payload_correct,decoded_block_count,decoded_block_count_correct,numerically_healthy,match_ratio,train_run_id,eval_run_id,final_loss,included
B1_U00_s17,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U00,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046647158Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429948784Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046647158Z/training_health.json,accepted_included,,True,True,U00,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046647158Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429948784Z,0.00017,True
B1_U03_s17,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U03,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046677287Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429985476Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046677287Z/training_health.json,accepted_included,,True,True,U03,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046677287Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429985476Z,0.00017,True
B1_U12_s17,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U12,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046703781Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430010882Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046703781Z/training_health.json,accepted_included,,True,True,U12,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046703781Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430010882Z,0.00017,True
B1_U15_s17,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U15,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046727060Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430034283Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046727060Z/training_health.json,accepted_included,,True,True,U15,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046727060Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430034283Z,0.00017,True
B1_U00_s23,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U00,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046752009Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430056865Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046752009Z/training_health.json,accepted_included,,True,True,U00,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046752009Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430056865Z,1.403883,True
B1_U03_s23,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U03,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046774886Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430079794Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046774886Z/training_health.json,completed_excluded,"accepted,verifier_success,decoded_payload_correct",False,False,,False,1,True,True,0.5,exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046774886Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430079794Z,1.403883,False
B1_U12_s23,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U12,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046801691Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430101493Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046801691Z/training_health.json,completed_excluded,"accepted,verifier_success,decoded_payload_correct",False,False,,False,1,True,True,0.0,exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046801691Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430101493Z,1.403883,False
B1_U15_s23,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U15,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046826838Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430123654Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046826838Z/training_health.json,completed_excluded,"accepted,verifier_success,decoded_payload_correct",False,False,,False,1,True,True,0.0,exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046826838Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430123654Z,1.403883,False
B1_U00_s29,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U00,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046849507Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430149261Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046849507Z/training_health.json,accepted_included,,True,True,U00,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046849507Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430149261Z,4.8e-05,True
B1_U03_s29,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U03,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046871568Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430171366Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046871568Z/training_health.json,accepted_included,,True,True,U03,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046871568Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430171366Z,4.8e-05,True
B1_U12_s29,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U12,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s29,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046895647Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430194320Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046895647Z/training_health.json,accepted_included,,True,True,U12,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046895647Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430194320Z,4.8e-05,True
B1_U15_s29,B1,b1,Single-block compiled evidence under the same two-field 4x4 codebook.,1,U15,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s29,G3a,new,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046922229Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430216162Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046922229Z/training_health.json,accepted_included,,True,True,U15,True,1,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046922229Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430216162Z,4.8e-05,True
B2_U00_s17,B2,b2,Standing two-block compiled evidence under the same two-field 4x4 codebook.,2,U00,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009043498Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009043498Z/training_health.json,accepted_included,,True,True,U00,True,2,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009043498Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z,7.2e-05,True
B2_U03_s17,B2,b2,Standing two-block compiled evidence under the same two-field 4x4 codebook.,2,U03,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009339920Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009339920Z/training_health.json,accepted_included,,True,True,U03,True,2,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009339920Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z,7.2e-05,True
B2_U12_s17,B2,b2,Standing two-block compiled evidence under the same two-field 4x4 codebook.,2,U12,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009636763Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009636763Z/training_health.json,accepted_included,,True,True,U12,True,2,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009636763Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z,7.2e-05,True
B2_U15_s17,B2,b2,Standing two-block compiled evidence under the same two-field 4x4 codebook.,2,U15,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17,compiled-c3-r4,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009951332Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009951332Z/training_health.json,accepted_included,,True,True,U15,True,2,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T062009951332Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z,7.2e-05,True
B2_U00_s23,B2,b2,Standing two-block compiled evidence under the same two-field 4x4 codebook.,2,U00,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23,compiled-c3-r2,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T194153085723Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T194153085723Z/training_health.json,accepted_included,,True,True,U00,True,2,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T194153085723Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z,0.000314,True
