case_id,payload,seed,case_root,source_stage,source_kind,train_summary_path,eval_summary_path,training_health_path,status,accepted,verifier_success,decoded_payload,decoded_payload_correct,numerically_healthy,match_ratio,train_run_id,eval_run_id,final_loss,included
U00_s17,U00,17,/home/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U00_s17,compiled-c3-r4,reused,,,,pending,False,False,,False,False,0.0,,,0.0,False
U01_s17,U01,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132932801Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109665266Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132932801Z/training_health.json,accepted_included,True,True,U01,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132932801Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109665266Z,7.2e-05,True
U02_s17,U02,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132973750Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109705341Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132973750Z/training_health.json,accepted_included,True,True,U02,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132973750Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109705341Z,7.2e-05,True
U03_s17,U03,17,/home/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U03_s17,compiled-c3-r4,reused,,,,pending,False,False,,False,False,0.0,,,0.0,False
U04_s17,U04,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132997316Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109735307Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132997316Z/training_health.json,accepted_included,True,True,U04,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053132997316Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109735307Z,7.2e-05,True
U05_s17,U05,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133020975Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109758884Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133020975Z/training_health.json,accepted_included,True,True,U05,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133020975Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109758884Z,7.2e-05,True
U06_s17,U06,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133044012Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109781972Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133044012Z/training_health.json,accepted_included,True,True,U06,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133044012Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109781972Z,7.2e-05,True
U07_s17,U07,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U07_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U07_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133067112Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U07_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109811600Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U07_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133067112Z/training_health.json,accepted_included,True,True,U07,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133067112Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109811600Z,7.2e-05,True
U08_s17,U08,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U08_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U08_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133089651Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U08_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109835570Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U08_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133089651Z/training_health.json,accepted_included,True,True,U08,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133089651Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109835570Z,7.2e-05,True
U09_s17,U09,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U09_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U09_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133113648Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U09_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109859696Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U09_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133113648Z/training_health.json,accepted_included,True,True,U09,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133113648Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109859696Z,7.2e-05,True
U10_s17,U10,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U10_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U10_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133137741Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U10_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109882671Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U10_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133137741Z/training_health.json,accepted_included,True,True,U10,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133137741Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109882671Z,7.2e-05,True
U11_s17,U11,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U11_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U11_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133162485Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U11_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109905499Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U11_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133162485Z/training_health.json,accepted_included,True,True,U11,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133162485Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109905499Z,7.2e-05,True
U12_s17,U12,17,/home/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U12_s17,compiled-c3-r4,reused,,,,pending,False,False,,False,False,0.0,,,0.0,False
U13_s17,U13,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U13_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U13_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133186401Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U13_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109928028Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U13_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133186401Z/training_health.json,accepted_included,True,True,U13,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133186401Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109928028Z,7.2e-05,True
U14_s17,U14,17,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U14_s17,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U14_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133209912Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U14_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109952878Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U14_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133209912Z/training_health.json,accepted_included,True,True,U14,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T053133209912Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__aa4a64a__20260423T150109952878Z,7.2e-05,True
U15_s17,U15,17,/home/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r4/U15_s17,compiled-c3-r4,reused,,,,pending,False,False,,False,False,0.0,,,0.0,False
U00_s23,U00,23,/home/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U00_s23,compiled-c3-r2,reused,,,,pending,False,False,,False,False,0.0,,,0.0,False
U01_s23,U01,23,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s23,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133232926Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150109975159Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U01_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133232926Z/training_health.json,accepted_included,True,True,U01,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133232926Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150109975159Z,0.000314,True
U02_s23,U02,23,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s23,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133256083Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150109997752Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U02_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133256083Z/training_health.json,accepted_included,True,True,U02,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133256083Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150109997752Z,0.000314,True
U03_s23,U03,23,/home/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U03_s23,compiled-c3-r3,reused,,,,pending,False,False,,False,False,0.0,,,0.0,False
U04_s23,U04,23,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s23,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133280313Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150110021175Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U04_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133280313Z/training_health.json,accepted_included,True,True,U04,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133280313Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150110021175Z,0.000314,True
U05_s23,U05,23,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s23,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133303309Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150110045439Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U05_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133303309Z/training_health.json,accepted_included,True,True,U05,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133303309Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150110045439Z,0.000314,True
U06_s23,U06,23,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s23,G1,new,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133327233Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150110069152Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g1_qwen7b_payload_seed_scale/U06_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133327233Z/training_health.json,accepted_included,True,True,U06,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T053133327233Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__aa4a64a__20260423T150110069152Z,0.000314,True
